ServiceName                                              Action                                                                           AccessLevel             Description
AWS Certificate Manager                                  acm:DeleteCertificate                                                            Write                   Grants permission to delete a certificate and its associated private key
AWS Certificate Manager                                  acm:DescribeCertificate                                                          Read                    Grants permission to retreive a certificates and its metadata
AWS Certificate Manager                                  acm:ExportCertificate                                                            Read                    Grants permission to export a private certificate issued by a private certificate authority (CA) for use anywhere
AWS Certificate Manager                                  acm:GetAccountConfiguration                                                      Read                    Grants permission to retrieve account level configuration from AWS Certificate Manager
AWS Certificate Manager                                  acm:GetCertificate                                                               Read                    Grants permission to retrieve a certificate and certificate chain for a certificate ARN
AWS Certificate Manager                                  acm:ImportCertificate                                                            Write                   Grants permission to import a 3rd party certificate into AWS Certificate Manager (ACM)
AWS Certificate Manager                                  acm:ListCertificates                                                             List                    Grants permission to retrieve a list of the certificate ARNs and the domain name for each ARN
AWS Certificate Manager                                  acm:ListTagsForCertificate                                                       Read                    Grants permission to lists the tags that have been associated with a certificate
AWS Certificate Manager                                  acm:PutAccountConfiguration                                                      Write                   Grants permission to update account level configuration in AWS Certificate Manager
AWS Certificate Manager                                  acm:RemoveTagsFromCertificate                                                    Tagging                 Grants permission to remove one or more tags from a certificate
AWS Certificate Manager                                  acm:RenewCertificate                                                             Write                   Grants permission to renew an eligible private certificate
AWS Certificate Manager                                  acm:RequestCertificate                                                           Write                   Grants permission to requests a public or private certificate
AWS Certificate Manager                                  acm:ResendValidationEmail                                                        Write                   Grants permission to resend an email to request domain ownership validation
AWS Certificate Manager                                  acm:UpdateCertificateOptions                                                     Write                   Grants permission to update a certificate configuration. Use this to specify whether to opt in to or out of certificate transparency logging
AWS Private Certificate Authority                        acm-pca:CreateCertificateAuthority                                               Write                   Grants permission to create an AWS Private CA and its associated private key and configuration
AWS Private Certificate Authority                        acm-pca:CreateCertificateAuthorityAuditReport                                    Write                   Grants permission to create an audit report for an AWS Private CA
AWS Private Certificate Authority                        acm-pca:CreatePermission                                                         Permissions management  Grants permission to create a permission for an AWS Private CA
AWS Private Certificate Authority                        acm-pca:DeleteCertificateAuthority                                               Write                   Grants permission to delete an AWS Private CA and its associated private key and configuration
AWS Private Certificate Authority                        acm-pca:DeletePermission                                                         Permissions management  Grants permission to delete a permission for an AWS Private CA
AWS Private Certificate Authority                        acm-pca:DeletePolicy                                                             Permissions management  Grants permission to delete the policy for an AWS Private CA
AWS Private Certificate Authority                        acm-pca:DescribeCertificateAuthority                                             Read                    Grants permission to return a list of the configuration and status fields contained in the specified AWS Private CA
AWS Private Certificate Authority                        acm-pca:DescribeCertificateAuthorityAuditReport                                  Read                    Grants permission to return the status and information about an AWS Private CA audit report
AWS Private Certificate Authority                        acm-pca:GetCertificate                                                           Read                    Grants permission to retrieve an AWS Private CA certificate and certificate chain for the certificate authority specified by an ARN
AWS Private Certificate Authority                        acm-pca:GetCertificateAuthorityCertificate                                       Read                    Grants permission to retrieve an AWS Private CA certificate and certificate chain for the certificate authority specified by an ARN
AWS Private Certificate Authority                        acm-pca:GetCertificateAuthorityCsr                                               Read                    Grants permission to retrieve an AWS Private CA certificate signing request (CSR) for the certificate-authority specified by an ARN
AWS Private Certificate Authority                        acm-pca:GetPolicy                                                                Read                    Grants permission to retrieve the policy on an AWS Private CA
AWS Private Certificate Authority                        acm-pca:ImportCertificateAuthorityCertificate                                    Write                   Grants permission to import an SSL/TLS certificate into AWS Private CA for use as the CA certificate of an AWS Private CA
AWS Private Certificate Authority                        acm-pca:IssueCertificate                                                         Write                   Grants permission to issue an AWS Private CA certificate
AWS Private Certificate Authority                        acm-pca:ListCertificateAuthorities                                               List                    Grants permission to retrieve a list of the AWS Private CA certificate authority ARNs, and a summary of the status of each CA in the calling account
AWS Private Certificate Authority                        acm-pca:ListPermissions                                                          Read                    Grants permission to list the permissions that have been applied to the AWS Private CA certificate authority
AWS Private Certificate Authority                        acm-pca:ListTags                                                                 Read                    Grants permission to list the tags that have been applied to the AWS Private CA certificate authority
AWS Private Certificate Authority                        acm-pca:PutPolicy                                                                Permissions management  Grants permission to put a policy on an AWS Private CA
AWS Private Certificate Authority                        acm-pca:RestoreCertificateAuthority                                              Write                   Grants permission to restore an AWS Private CA from the deleted state to the state it was in when deleted
AWS Private Certificate Authority                        acm-pca:RevokeCertificate                                                        Write                   Grants permission to revoke a certificate issued by an AWS Private CA
AWS Private Certificate Authority                        acm-pca:TagCertificateAuthority                                                  Tagging                 Grants permission to add one or more tags to an AWS Private CA
AWS Private Certificate Authority                        acm-pca:UntagCertificateAuthority                                                Tagging                 Grants permission to remove one or more tags from an AWS Private CA
AWS Private Certificate Authority                        acm-pca:UpdateCertificateAuthority                                               Write                   Grants permission to update the configuration of an AWS Private CA
AWS Activate                                             activate:CreateForm                                                              Write                   Grants permission to submit an Activate application form
AWS Activate                                             activate:GetAccountContact                                                       Read                    Grants permission to get the AWS account contact information
AWS Activate                                             activate:GetContentInfo                                                          Read                    Grants permission to get Activate tech posts and offer information
AWS Activate                                             activate:GetCosts                                                                Read                    Grants permission to get the AWS cost information
AWS Activate                                             activate:GetCredits                                                              Read                    Grants permission to get the AWS credit information
